1,2,3
1,2,75
1,5,22
1,5,36
1,6,3
1,20,28
1,22,45
1,27,44
1,27,47
1,28,2
1,30,38
1,31,43
1,36,17
1,36,131
1,38,106
1,42,7
1,43,56
1,52,9
1,53,70
1,54,17
1,63,45
1,63,77
1,64,33
1,65,4
1,66,12
1,66,26
1,68,28
2,2,16
2,2,19
2,4,33
2,4,128
2,5,61
2,8,90
2,13,41
2,14,30
2,19,81
2,22,95
2,24,17
2,29,59
3,1,34
3,11,47
3,13,52
3,16,85
3,18,27
3,19,70
3,19,87
3,21,16
3,22,18
3,22,50
3,24,3
3,24,28
3,27,16
3,31,21
3,33,21
3,34,92
3,34,122
3,35,17
3,37,9
3,39,112
3,40,28
3,41,2
3,41,77
3,41,85
3,44,58
3,45,2
3,45,130
3,46,30
3,46,67
3,47,9
3,48,70
3,48,73
3,48,136
3,48,141
3,49,46
3,51,40
3,53,10
4,3,21
4,3,82
4,5,60
4,6,28
4,6,118
4,7,7
4,12,10
4,18,57
4,21,16
4,22,21
4,24,40
4,24,43
4,24,50
4,29,62
4,29,84
4,29,102
4,30,59
4,30,77
4,33,33
4,34,23
4,34,29
4,37,3
4,38,40
